thread_number,time_sec
1,6.89214
2,3.1322
3,2.2001
4,1.43991
5,1.13156
6,1.03761
7,0.78454
8,0.78425
9,0.91403
10,0.902798
11,0.998671
12,0.964376
13,0.965862
14,0.909199
15,0.945744
16,0.942802
17,0.950732
18,0.954068
19,0.943593
20,0.940874
21,0.947979
22,0.978038
23,1.03828
24,0.99324
25,1.0905
26,1.1432
27,1.18107
28,1.06298
29,1.05222
