1,500
2,643
3,608
4,958
5,1558
6,2435
7,2490
8,2290
9,5418
10,6076
11,2963
12,3426
13,3477
14,3671
15,3047
16,2853
17,3191
18,4661
19,3713
20,4787
21,4215
22,5209
23,6334
24,5447
25,4381
26,5642
27,4621
28,5587
29,6077
30,6265
31,5220
32,9804
33,5962
34,7395
35,6374
36,8493
37,6652
38,9630
39,10401
40,8901
41,9911
42,10081
43,9726
44,11839
45,12264
46,10248
47,10598
48,9661
49,10104
50,12557
51,9621
52,10759
53,10574
54,14460
55,10617
56,14885
57,10770
58,11824
59,10810
60,16071
61,15875
62,13220
63,12116
64,13681
65,12897
66,16093
67,14761
68,16284
69,16500
70,15700
71,20633
72,21308
73,17394
74,9496
75,13031
76,19261
77,14427
78,18349
79,17722
80,17021
81,15630
82,21835
83,17227
84,17729
85,20242
86,17149
87,19927
88,20769
89,20311
90,20930
91,20179
92,19409
93,18662
94,19336
95,20199
96,18465
97,18523
98,20181
99,22203
