1,521
2,688
3,773
4,1073
5,1714
6,2990
7,3005
8,2929
9,3094
10,1901
11,2066
12,1677
13,3047
14,2915
15,4220
16,4322
17,5121
18,4715
19,4934
20,3816
21,4630
22,3532
23,6236
24,4820
25,4244
26,6496
27,5325
28,4684
29,5017
30,5726
31,5888
32,10704
33,9928
34,11978
35,8966
36,8364
37,8341
38,9587
39,10815
40,12553
41,8228
42,10693
43,8972
44,10442
45,10724
46,13249
47,11723
48,8737
49,9869
50,10479
51,9124
52,13018
53,11260
54,8896
55,14379
56,12952
57,14206
58,21743
59,21083
60,15646
61,17284
62,16709
63,16640
64,13754
65,13705
66,11975
67,17159
68,17819
69,12729
70,13078
71,15106
72,16441
73,11949
74,10114
75,19234
76,16402
77,17813
78,15095
79,15750
80,15914
81,16764
82,16799
83,23441
84,18951
85,17857
86,18828
87,21281
88,17045
89,23033
90,17968
91,19034
92,20150
93,19801
94,21785
95,18749
96,19983
97,20838
98,22640
99,22928
