0,0
0,0
0,0
27,13
39,19
29,14
26,14
58,25
42,19
61,33
65,29
45,25
50,23
86,36
61,30
58,26
138,64
82,41
80,32
159,62
69,32
114,50
205,88
80,36
92,29
191,76
117,50
96,41
232,104
115,48
135,37
239,101
127,64
118,28
279,112
137,61
165,39
277,117
142,69
170,40
331,140
160,61
160,34
332,146
155,72
217,47
404,170
223,97
157,37
325,149
282,128
212,48
338,149
252,83
235,39
438,182
300,124
210,45
419,184
271,105
273,44
438,194
298,109
410,87
497,218
341,139
371,59
545,238
397,160
429,89
504,237
683,306
475,86
523,228
616,242
377,101
506,232
679,261
561,91
604,254
782,315
1005,278
597,271
806,364
832,208
643,294
812,311
1209,337
663,280
1026,474
1110,258
717,334
992,392
1211,273
710,304
1023,394
516,141
710,306
1012,324
1566,430
756,331
1104,420
1179,361
763,340
1246,544
435,79
910,397
1059,366
882,112
876,394
819,242
1252,390
936,400
1073,361
655,127
824,360
1292,504
656,149
995,440
1447,592
1929,443
982,436
1040,281
1186,300
896,410
1647,630
1971,820
990,419
1166,395
1208,285
1031,455
1945,800
762,193
989,440
2132,837
716,122
990,434
1861,775
1795,451
985,462
1489,544
2045,444
1149,514
1132,334
2360,610
1136,516
2315,904
2507,826
1002,432
2017,877
1559,198
1115,478
2185,755
2770,708
1255,563
2275,889
1689,310
1210,550
2363,928
3198,1232
1189,504
2142,733
4256,1710
1128,515
2210,857
4435,1859
1288,529
2165,660
1573,284
1289,550
2607,931
1681,383
1175,525
3164,1269
3926,1160
1276,604
2502,908
564,119
1248,569
2722,938
3556,1107
1249,535
2076,512
885,119
1295,568
3120,1109
3723,1483
1335,598
2603,870
908,109
1460,664
2902,994
1719,294
1488,652
3241,1153
1538,277
1627,688
3705,1346
1578,207
1694,746
3403,1173
413,92
1527,646
4041,1428
5496,1847
1594,704
4140,1600
4831,1496
1634,750
4467,1736
7909,3202
1527,687
3083,1068
4773,1551
1494,661
4044,1451
4741,1263
1263,606
2780,779
958,121
1548,701
4806,1982
6425,2139
1562,703
4967,1825
6009,2219
1747,791
4911,1911
975,159
1880,861
4765,1692
5510,1792
1767,773
3645,1133
7952,2912
1699,702
5008,1852
931,117
1919,888
4108,1347
5244,1827
1766,777
3854,1085
